,csa_id,csa_name,P0010001,H0010001,H0010002,H0010003
0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6930423,2753914,2570167,183747
1,148,"Boston-Worcester-Providence, MA-RI-NH-CT",8466186,3604952,3319384,285568
2,172,"Charlotte-Concord, NC-SC",2822352,1179478,1098647,80831
3,176,"Chicago-Naperville, IL-IN-WI",9986960,4107480,3819959,287521
4,184,"Cleveland-Akron-Canton, OH",3633962,1662778,1525555,137223
5,206,"Dallas-Fort Worth, TX-OK",8121108,3163911,2947316,216595
6,216,"Denver-Aurora, CO",3623560,1503302,1414008,89294
7,220,"Detroit-Warren-Ann Arbor, MI",5424742,2350647,2176590,174057
8,288,"Houston-The Woodlands, TX",7312270,2821424,2577581,243843
9,348,"Los Angeles-Long Beach, CA",18644680,6595294,6205567,389727
10,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",6868652,3007747,2637311,370436
11,378,"Minneapolis-St. Paul, MN-WI",4078788,1664221,1583984,80237
12,408,"New York-Newark, NY-NJ-CT-PA",23544043,9378745,8690671,688074
13,422,"Orlando-Lakeland-Deltona, FL",4222422,1817344,1613489,203855
14,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7379700,3119160,2843987,275173
15,429,"Phoenix-Mesa, AZ",4899104,2018078,1812554,205524
16,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",2657149,1257734,1143552,114182
17,440,"Portland-Vancouver-Salem, OR-WA",3280736,1333284,1263512,69772
18,472,"Sacramento-Roseville, CA",2680831,1051146,971304,79842
19,476,"St. Louis-St. Charles-Farmington, MO-IL",2924904,1304856,1190236,114620
20,482,"Salt Lake City-Provo-Orem, UT",2701129,921854,865530,56324
21,484,"San Antonio-New Braunfels-Pearsall, TX",2576528,1022018,930799,91219
22,488,"San Jose-San Francisco-Oakland, CA",9714023,3606733,3410592,196141
23,500,"Seattle-Tacoma, WA",4953421,2051279,1929118,122161
24,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",9973383,4006033,3749833,256200
