,state,county,subbor_id,subbor_nm,H003002
0,36,005,36005CS,BX Central and South,156721
1,36,005,36005NE,BX North and East,96791
2,36,005,36005W,BX West,229937
3,36,047,36047C,BK Central,204464
4,36,047,36047E,BK East,92886
5,36,047,36047N,BK North,150039
6,36,047,36047S,BK Southern,323559
7,36,047,36047W,BK West,145908
8,36,061,36061E,MN East Side,206971
9,36,061,36061L,MN Lower,152412
10,36,061,36061U,MN Upper,216933
11,36,061,36061WM,MN West Side and Midtown,187530
12,36,081,36081NE,QN Northeast,188278
13,36,081,36081NW,QN Northwest,337909
14,36,081,36081SE,QN Southeast,169682
15,36,081,36081SW,QN Southwest,84248
16,36,085,36085C,SI Central,47772
17,36,085,36085N,SI North,60652
18,36,085,36085S,SI South,57092
