,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003,NAME
1,9,1.0,09001,50,957419,378479,957419,957419,205351,752068,715131,552125,99992,858,50751,173,11232,36937,378479,354084,24395,Fairfield County
3,9,5.0,09005,50,185186,87615,185186,185186,14580,170606,163254,155601,2957,268,3434,63,931,7352,87615,77502,10113,Litchfield County
5,9,9.0,09009,50,864835,369178,864835,864835,170081,694754,664569,509688,110273,1413,36995,247,5953,30185,369178,343437,25741,New Haven County
3,36,5.0,36005,50,1472654,547030,1472654,1472654,806463,666191,637821,130796,419393,3087,67766,457,16322,28370,547030,522450,24580,Bronx County
14,36,27.0,36027,50,295911,122009,295911,295911,42224,253687,241666,198495,30126,387,10635,67,1956,12021,122009,111927,10082,Dutchess County
24,36,47.0,36047,50,2736074,1077654,2736074,2736074,516426,2219648,2106478,968427,729696,3964,370776,718,32897,113170,1077654,1009804,67850,Kings County
30,36,59.0,36059,50,1395774,476732,1395774,1395774,256425,1139349,1103621,779454,147216,1714,163165,292,11780,35728,476732,455482,21250,Nassau County
31,36,61.0,36061,50,1694251,913926,1694251,1694251,402640,1291611,1228622,793294,199592,1895,219624,882,13335,62989,913926,817782,96144,New York County
36,36,71.0,36071,50,401310,146879,401310,401310,89744,311566,297724,231848,41341,754,11665,104,12012,13842,146879,135746,11133,Orange County
40,36,79.0,36079,50,97668,38308,97668,97668,17760,79908,77166,71942,2425,80,2146,12,561,2742,38308,35329,2979,Putnam County
41,36,81.0,36081,50,2405464,896333,2405464,2405464,667861,1737603,1653491,549358,381375,9576,656583,1110,55489,84112,896333,847210,49123,Queens County
43,36,85.0,36085,50,495747,183692,495747,495747,96960,398787,387469,277981,46835,624,58753,135,3141,11318,183692,173202,10490,Richmond County
44,36,87.0,36087,50,338329,108068,338329,338329,66451,271878,264178,206113,33775,390,20413,42,3445,7700,108068,102948,5120,Rockland County
52,36,103.0,36103,50,1525920,578940,1525920,1525920,332959,1192961,1152439,967330,107268,3102,65019,241,9479,40522,578940,516872,62068,Suffolk County
53,36,105.0,36105,50,78624,49125,78624,78624,14007,64617,61115,52691,6069,174,1569,10,602,3502,49125,30183,18942,Sullivan County
56,36,111.0,36111,50,181851,85853,181851,181851,21119,160732,152194,136695,10152,306,3778,45,1218,8538,85853,73321,12532,Ulster County
60,36,119.0,36119,50,1004457,388963,1004457,1004457,269334,735123,703419,497684,131010,1017,64907,150,8651,31704,388963,367296,21667,Westchester County
2,34,3.0,34003,50,955732,367383,955732,955732,204683,751049,726733,511919,49909,811,157500,130,6464,24316,367383,350664,16719,Bergen County
7,34,13.0,34013,50,863728,334896,863728,863728,210353,653375,619648,235125,324081,1238,46957,169,12078,33727,334896,312913,21983,Essex County
9,34,17.0,34017,50,724854,312706,724854,724854,293019,431835,411851,206530,71385,1069,123424,233,9210,19984,312706,289408,23298,Hudson County
10,34,19.0,34019,50,128947,51687,128947,128947,10929,118018,114009,104667,3030,92,5677,8,535,4009,51687,48978,2709,Hunterdon County
11,34,21.0,34021,50,387340,150442,387340,387340,84177,303163,291686,168580,72364,427,48330,106,1879,11477,150442,139361,11081,Mercer County
12,34,23.0,34023,50,863162,315521,863162,863162,193687,669475,648278,333158,78719,1183,227973,192,7053,21197,315521,300547,14974,Middlesex County
13,34,25.0,34025,50,643615,268912,643615,643615,80730,562885,541156,460825,39178,482,36008,97,4566,21729,268912,244630,24282,Monmouth County
14,34,27.0,34027,50,509285,197722,509285,509285,76661,432624,417264,341175,15586,373,57700,93,2337,15360,197722,188496,9226,Morris County
15,34,29.0,34029,50,637229,294429,637229,637229,66329,570900,554099,520578,17649,523,11339,111,3899,16801,294429,238812,55617,Ocean County
16,34,31.0,34031,50,524118,185367,524118,524118,224030,300088,289864,203542,51859,688,30209,52,3514,10224,185367,177075,8292,Passaic County
18,34,35.0,34035,50,345361,131822,345361,345361,57379,287982,277379,177411,30480,306,67098,69,2015,10603,131822,125598,6224,Somerset County
19,34,37.0,34037,50,144221,62709,144221,144221,14310,129911,124891,118247,2858,191,2918,11,666,5020,62709,55915,6794,Sussex County
20,34,39.0,34039,50,575345,209908,575345,575345,195519,379826,362289,211245,112261,552,31963,78,6190,17537,209908,200372,9536,Union County
21,34,41.0,34041,50,109632,46457,109632,109632,12225,97407,93338,84255,5573,96,2886,28,500,4069,46457,43327,3130,Warren County
