,state,county,subbor_id,subbor_nm,P001001
0,36,005,36005CS,BX Central and South,461286
1,36,005,36005NE,BX North and East,253374
2,36,005,36005W,BX West,670448
3,36,047,36047C,BK Central,559518
4,36,047,36047E,BK East,274119
5,36,047,36047N,BK North,411047
6,36,047,36047S,BK Southern,888061
7,36,047,36047W,BK West,371955
8,36,061,36061E,MN East Side,370930
9,36,061,36061L,MN Lower,314271
10,36,061,36061U,MN Upper,562116
11,36,061,36061WM,MN West Side and Midtown,338556
12,36,081,36081NE,QN Northeast,519197
13,36,081,36081NW,QN Northwest,919891
14,36,081,36081SE,QN Southeast,525185
15,36,081,36081SW,QN Southwest,266449
16,36,085,36085C,SI Central,133121
17,36,085,36085N,SI North,175756
18,36,085,36085S,SI South,159853
